title,url_link,thumbnail,Play_Time,Channel,Views,Upload,Desc
"THE SIMPSONS, BAD BUNNY - TE DESEO LO MEJOR (Official Video)",https://www.youtube.com/watch?v=m3xFuFPxOnw,https://i.ytimg.com/vi/m3xFuFPxOnw/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLB3yhD865qFEVV6YG3SbxUS-vW_Tw,2:59,Bad Bunny,15M views,3 days ago,"THE SIMPSONS, BAD BUNNY -TE DESEO LO MEJOR Trilogy Box Set - https://www.badbunnytrilogy.com/ https://elultimotourdelmundo.com/ Merch: https://shop.elultimotourdelmundo.com/ Subscribe to..."
Gucci Mane - Long Live Dolph [Music Video],https://www.youtube.com/watch?v=aQXV92_1UwM,https://i.ytimg.com/vi/aQXV92_1UwM/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBpM70mvgks3hobSjoI-q1bG4tDUg,3:45,Gucci Mane,6.3M views,7 days ago,"Gucci Mane - Long Live Dolph ""So Icy Christmas"" 🥶 Out Now! Download/Stream: https://thenew1017.lnk.to/SoIcyChristmas Subscribe for more official content from Gucci Mane: https://Atlantic.lnk.t..."
so Snoop Dogg sent me this..,https://www.youtube.com/shorts/AoDtj4uZbR4,https://i.ytimg.com/vi/AoDtj4uZbR4/hq2.jpg,SHORTS,Davie504,7.6M views,3 days ago,#shorts
Marvel Studios' Doctor Strange in the Multiverse of Madness | Official Teaser,https://www.youtube.com/watch?v=Rt_UqUm38BI,https://i.ytimg.com/vi/Rt_UqUm38BI/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDZ3r0-A-ucE5wV8YKMFW9N9_8jGQ,2:12,Marvel Entertainment,23M views,6 days ago,"“The Multiverse is a concept about which we know frighteningly little."" Watch the official teaser for Marvel Studios' Doctor Strange in the Multiverse of Madness. Only in theaters May 6...."
"Jessica Darrow - Surface Pressure (From ""Encanto"")",https://www.youtube.com/watch?v=tQwVKr8rCYw,https://i.ytimg.com/vi/tQwVKr8rCYw/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAdspaugABOS5LYu26kk99SRh8SNg,3:31,DisneyMusicVEVO,6.1M views,4 days ago,"See Disney’s Encanto now streaming on Disney+ 🕯️✨🦋 Walt Disney Animation Studios’ “Encanto” tells the tale of an extraordinary family, the Madrigals, who live hidden in the..."
Nardwuar vs. J. Cole (2021),https://www.youtube.com/watch?v=GxVXEd_G_60,https://i.ytimg.com/vi/GxVXEd_G_60/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLD5jYEWslLlhZ_1si8ke9aWwJxbNA,58:22,NardwuarServiette,2M views,2 days ago,"Nardwuar interviews J. Cole on December 9, 2021 in Santa Monica, CA USA ! Doot doo ! https://www.twitch.tv/nardwuarserviette Nardwuar Twitter: http://www.twitter.com/nardwuar Nardwuar..."
I Almost Became An Amputee,https://www.youtube.com/watch?v=wG1Q1ouemVA,https://i.ytimg.com/vi/wG1Q1ouemVA/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCUoOmApgE41JyNUvuVOWRR_nSMzA,11:31,Technoblade,5.6M views,4 days ago,Technoblade Makes Cancer 1000% Funnier BUY MY MERCHANDISE: https://technoblade.com/ -------------------------------- become a CHANNEL MEMBER here: https://www.youtube.com/channel/UCFAiFyGs6oDiF1Nf-...
Lil Durk - Broadway Girls feat. Morgan Wallen - (Official Music Video),https://www.youtube.com/watch?v=2CNl_CCtE-I,https://i.ytimg.com/vi/2CNl_CCtE-I/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBcNQbUSNet76pDQXt9KK8hBXFMzQ,3:09,Lil Durk,4.5M views,7 days ago,"#LilDurk #MorganWallen #BroadwayGirls Lil Durk - Broadway Girls feat. Morgan Wallen Stream ""Broadway Girls"": https://smarturl.it/broadwaygirls Follow Lil Durk: https://instagram.com/lildurk..."
"Extreme $1,000,000 Hide And Seek",https://www.youtube.com/watch?v=00NgUctWoLQ,https://i.ytimg.com/vi/00NgUctWoLQ/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLD8yf2kcBKx68yUZdyNDy5a4Tk25w,12:09,MrBeast,38M views,9 days ago,I didn't expect that to happen at the end I was so confused haha ╔═╦╗╔╦╗╔═╦═╦╦╦╦╗╔═╗ ║╚╣║║║╚╣╚╣╔╣╔╣║╚╣═╣ ╠╗║╚...
NBA Youngboy - Emo Rockstar,https://www.youtube.com/watch?v=e14yTAdhTdY,https://i.ytimg.com/vi/e14yTAdhTdY/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBVnMBOxGTNiit0iCwu9pG0aLJLNg,3:16,YoungBoy Never Broke Again,5.5M views,6 days ago,"YoungBoy Never Broke Again – ‘Sincerely, Kentrell’ OUT NOW: https://youngboy.lnk.to/SincerelyKentrellID Subscribe for more official content from YoungBoy NBA: https://youngboy.lnk.to/Sub..."
How Is He So Good At This? 😂🔊 #shorts,https://www.youtube.com/shorts/ZnvTXxB0TLU,https://i.ytimg.com/vi_webp/ZnvTXxB0TLU/hq2.webp,SHORTS,Woody & Kleiny,61M views,9 days ago,
Five Nights at Freddy's: Security Breach - Part 1,https://www.youtube.com/watch?v=ClQ-ymoXJZc,https://i.ytimg.com/vi/ClQ-ymoXJZc/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLASED6sU-YD0JS9jRER7paz-QyZhw,54:10,Markiplier,16M views,10 days ago,Security Breach is HERE!! What horrors lurk in an official free roam Five Nights at Freddy's game? My Comfiest Clothes Yet ► https://cloakbrand.com/ LISTEN TO DISTRACTIBLE ►► https://podlink....
10 vs 1000 Player Manhunt!,https://www.youtube.com/watch?v=rdsXcS4guLQ,https://i.ytimg.com/vi/rdsXcS4guLQ/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLA3E1wknb5V6t9TLWFp8Glr910Svw,11:14,MrBeast Gaming,10M views,4 days ago,Holiday Deal! Go to https://NordVPN.com/mrbeastgaming and use code MRBEASTGAMING to get a 2-year plan plus 1 additional month with a huge discount. SUBSCRIBE OR YOU'LL HAVE BAD LUCK New...
THE CRAZIEST FAMILY CHRISTMAS GIFTS OPENING EVER!!,https://www.youtube.com/watch?v=NCvnC5GhSdA,https://i.ytimg.com/vi/NCvnC5GhSdA/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCf34tHeQB3m1PUMhuzfDaUvZKj8g,30:08,FaZe Rug,3.7M views,2 days ago,"MERRY CHRISTMAS FROM MY FAMILY TO YOU! I hope you all have an amazing & blessed Christmas, and if you don't celebrate Christmas, hope you're having a great day! 🔴 SUBSCRIBE FOR LIT VIDEOS..."
Watching the Most Disliked Videos - JonTron,https://www.youtube.com/watch?v=0-L5EMXBkqo,https://i.ytimg.com/vi/0-L5EMXBkqo/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCvH1mw72uH69zGeGsdKUpVCa7WWw,17:02,JonTronShow,2.4M views,1 day ago,Install Raid for Free ✅ Mobile and PC: https://clik.cc/jAV9x and get a special starter pack 💥 Available only for the next 30 days 💥 Thanks to Raid for sponsoring today’s video! ...
Gordon Ramsay Returns for the Hot Ones Holiday Extravaganza | Hot Ones,https://www.youtube.com/watch?v=GJlNvSC5v6s,https://i.ytimg.com/vi/GJlNvSC5v6s/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCurT730NG6sudLiLoaoDUBklxhDQ,44:06,First We Feast,7.1M views,5 days ago,"Happy holidays, Spice Lords! To say thank you to the fans and help raise money for our charity partner, Common Threads, the First We Feast team has been hard at work to bring you this special..."
AMP LOVE AND SLAMBALL,https://www.youtube.com/watch?v=nbHVE3doip4,https://i.ytimg.com/vi/nbHVE3doip4/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBPtVfYjubQn41xhVT0q5gMb5MLKw,50:22,AMP,1.6M views,4 days ago,GET NEW AMP APPAREL HERE: https://amp.shop/ Join this channel to get access to perks: https://www.youtube.com/channel/UCJbYdyufHR-cxOuY96KIoqA/join AMP AMP AMP AMP 💜 Join the AMP SQUAD...
Running Away From Home CHRISTMAS EDITION,https://www.youtube.com/shorts/NHucQhzCRKY,https://i.ytimg.com/vi/NHucQhzCRKY/hq2.jpg,SHORTS,Amyy Woahh,8.6M views,6 days ago,
"Upchurch ft. @Chase Matthew ""Broadway Girls"" REMIX (OFFICIAL MUSIC VIDEO)",https://www.youtube.com/watch?v=lc_pVoYUzYQ,https://i.ytimg.com/vi/lc_pVoYUzYQ/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCY_aKld3NK1Gbx65hJ-Uj2lMlu3Q,3:09,Ryan Upchurch,2.1M views,8 days ago,GET MUSIC NOW AT: SHOP RHEC GEAR at http://www.RHECGEAR.com MUSIC- http://www.ryanupchurch.com FOLLOW UPCHURCH AT: https://www.facebook.com/OfficialRyan... http://www.instagram.com/cheathamc...
James Webb Space Telescope Launch — Official NASA Broadcast,https://www.youtube.com/watch?v=7nT7JGZMbtM,https://i.ytimg.com/vi/7nT7JGZMbtM/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDcvIhdsfFqpgyGu5iZdDNLY1Z0Cw,2:17:30,NASA,6M views,Streamed 3 days ago,"Watch the launch of the James Webb Space Telescope—the most powerful space telescope ever made. This mission launched at 7:20 a.m. EST (12:20 UTC), Dec. 25, 2021, aboard an Ariane 5 rocket..."
Jake Paul Scores Insane KO of Tyron Woodley In Round 6 | SHOWTIME PPV,https://www.youtube.com/watch?v=1xzYLkxjdag,https://i.ytimg.com/vi/1xzYLkxjdag/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAUB8FxpdmiP-EZDSHkk4kqoxZEnA,2:51,SHOWTIME Sports,10M views,9 days ago,International superstar Jake “The Problem Child” Paul left no doubt in his rematch with former MMA champ Tyron Woodley scoring an insane KO of Woodley in round 6. #ShowtimePPV #JakePaul...
"THE SIMPSONS, BAD BUNNY - TE DESEO LO MEJOR (Official Video)",https://www.youtube.com/watch?v=m3xFuFPxOnw,https://i.ytimg.com/vi/m3xFuFPxOnw/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLB3yhD865qFEVV6YG3SbxUS-vW_Tw,2:59,Bad Bunny,15M views,3 days ago,"THE SIMPSONS, BAD BUNNY -TE DESEO LO MEJOR Trilogy Box Set - https://www.badbunnytrilogy.com/ https://elultimotourdelmundo.com/ Merch: https://shop.elultimotourdelmundo.com/ Subscribe to..."
Behind Dreams Mask,https://www.youtube.com/watch?v=STMhBkjVBHs,https://i.ytimg.com/vi/STMhBkjVBHs/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCU75SWE4GuhLm2bme0qJNYP37ZIw,6:01,MeatCanyon,3.1M views,1 day ago,Thanks for watching :) if you enjoyed the video consider signing up for my patreon! https://www.patreon.com/meatcanyon Voice of the father: Rudy Schultz - https://www.rudyschultz.com/ Animators:...
World's Largest T-Shirt Cannon (breaks the roof),https://www.youtube.com/watch?v=QiKZYt9070U,https://i.ytimg.com/vi/QiKZYt9070U/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLADfXQ8EAAzTlZAtVwxpscdXaWnCA,16:25,Mark Rober,9.1M views,7 days ago,I was challenged to build a T-Shirt cannon. I accepted the challenge. Check out http://shopify.com/markrober and get a 14 day free trial!
Turning $0.01 Into a House in 1 Week - Day 2,https://www.youtube.com/watch?v=Ge96ORjwsic,https://i.ytimg.com/vi/Ge96ORjwsic/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAIEGPgPBCzA-X3R4bd6ZgR-9_ZvQ,8:18,Ryan Trahan,2.3M views,3 days ago,penny → truck??? plz plz plz sign up for shopify → https://shopify.com/ryantrahan
I GOT MY BOYFRIEND THE BEST CHRISTMAS PRESENT EVER!! **HELLCAT REDEYE**,https://www.youtube.com/watch?v=LQyK1pHQhqA,https://i.ytimg.com/vi/LQyK1pHQhqA/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDndV1e8_-NgHnlr5vIKvCU6BQgbg,26:11,GnB Vids,535K views,2 days ago,"Hope you guys enjoyed the video! ❤️ Merry Christmas to everyone, we love you all so so much!! Comment down below if you guys are G or B Team! Also Subscribe if you're new! Give this video..."
I Ran A Boba Tea Shop For A Day,https://www.youtube.com/watch?v=cCP9vjp4kSg,https://i.ytimg.com/vi/cCP9vjp4kSg/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDGodfNkY4n5bm8xEiDj9DxNhBreQ,32:45,Safiya Nygaard,1.5M views,1 day ago,"HELLO FRIENDS!! A portion of this video was premiered during the Streamys, so thank you so much to the Streamys for featuring us! You can check out the show here: https://www.youtube.com/watch?v=zI..."
Exploding Christmas Presents | OT 32,https://www.youtube.com/watch?v=YJljg4t-LGI,https://i.ytimg.com/vi/YJljg4t-LGI/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLD_sSVK0oOGm2s75V3KJROlU804Lg,15:33,Dude Perfect,5.3M views,7 days ago,CHRISTMAS OVERTIME! Making homemade toys! Horrible Presents & a new Christmas song! Thanks to SoFi for sponsoring this video! Click here to download the app & enter to win a trip for you +...
How To Die In Every Hood!,https://www.youtube.com/watch?v=WRotzA0rqHU,https://i.ytimg.com/vi/WRotzA0rqHU/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDbTPOP1SXJgGlxF2UbyvuNgovC4w,15:58,Kai Cenat,1.1M views,1 day ago,MERCH: https://mafiaworldwideclothing.com/ Make Sure You keep Up With All Of My Social Medias: Instagram: https://www.instagram.com/kaicenat/ Twitter: https://twitter.com/KaiCenat Twitch:...
Sound Effecting Mom For Christmas🎄📯,https://www.youtube.com/shorts/SB9V9gnHGtA,https://i.ytimg.com/vi/SB9V9gnHGtA/hq2.jpg,SHORTS,Peet Montzingo,11M views,4 days ago,rip christmas lmao #shorts
Marines Surprise WWII Veteran,https://www.youtube.com/shorts/-K96Dtxt0Ak,https://i.ytimg.com/vi/-K96Dtxt0Ak/hq2.jpg,SHORTS,The Military Show,1.1M views,3 days ago,"Watch as Marines surprise this World War Two veteran. When Marines arrived in Port Everglades for Fleet Week, the local sheriff informed them that there was a true war hero who lived nearby,..."
MY MOST VIEWED TIKTOK OF 2021: KOREAN MOM TRIES MARIE-WANA 😂😂 #truestory,https://www.youtube.com/shorts/Yt9A0YT0SK4,https://i.ytimg.com/vi/Yt9A0YT0SK4/hq2.jpg,SHORTS,Jeenie.Weenie,7.4M views,6 days ago,Thank you for all the laughs in 2021!!! Looking forward to 2022 with all of you ❤️❤️
Apple Has a Patent on its iPhone Packaging?!,https://www.youtube.com/shorts/KNpbntXjR_c,https://i.ytimg.com/vi/KNpbntXjR_c/hq2.jpg,SHORTS,Our Future,2.5M views,2 days ago,"Apple Has a Patent on its iPhone Packaging?! Video Host: Jackson Kessler (Follow Jackson on Instagram: @Jax778) For the best business videos on the Internet, Subscribe here ➡ https://www.youtube..."
Living 24 Hours On a Private Jet,https://www.youtube.com/watch?v=E7aAaYAhSXk,https://i.ytimg.com/vi/E7aAaYAhSXk/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCDKqUKgodMpn_q8FA_55gsE9rhTw,12:54,Preston,4.2M views,4 days ago,Living 24 Hours On a Private Jet with Preston 👊 👕 MERCH - http://www.firemerch.com ❤️ FRIENDS! 🡆 ZHC - https://bit.ly/3jOmlic 🡆 Ben Azelart - https://bit.ly/36W19S3 🡆...
TWIN NURSERY MAKEOVER!,https://www.youtube.com/watch?v=Pxo2ogHCFkk,https://i.ytimg.com/vi/Pxo2ogHCFkk/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCOoGMcbf1mARD9WbYPNcs1V6ZuVw,20:08,Colleen Ballinger,1.5M views,4 days ago,Watch the video of Flynns Truck bedroom makeover! https://youtu.be/vH1BaTx69No Subscribe to Drew and Linda! - https://www.youtube.com/channel/UCAfJ5ZKZMyhGjK0w7FEDsfA Follow them on Socials!...
Rauw Alejandro - Hunter (Video Oficial),https://www.youtube.com/watch?v=1246blVYb4c,https://i.ytimg.com/vi/1246blVYb4c/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBzdmTXlgegxcT52U9RAlOakBMRuw,4:57,RauwAlejandroTv,4.7M views,4 days ago,Rauw Alejandro Hunter (Video Oficial) Suscríbete al canal: https://goo.gl/Cqxmma Sigue a Rauw: Instagram: https://www.instagram.com/rauwalejandro Facebook: https://www.facebook.com/rauwalejandro...
we broke up,https://www.youtube.com/watch?v=NYku77W0LlI,https://i.ytimg.com/vi/NYku77W0LlI/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCheE2nAPqdFY0uOr_d4MI6-V7gNg,11:21,Louie's Life,1M views,4 days ago,
I think I need more friends #shorts,https://www.youtube.com/shorts/ZDa2MDwp5GE,https://i.ytimg.com/vi/ZDa2MDwp5GE/hq2.jpg,SHORTS,Tommy Zhang,2M views,1 day ago,This game is called Joking Hazard. Made by the original creators Cyanide and Happiness! All credit goes to them :) Tommy Zhang - #shorts Follow me on Tiktok and my other social medias! itstommyliv...
Becoming a good person speedrun (13.31 seconds),https://www.youtube.com/shorts/FpEnlaGbGFU,https://i.ytimg.com/vi_webp/FpEnlaGbGFU/hq2.webp,SHORTS,I am MoBo,5.7M views,2 days ago,It's Christmas and you need to be good to get presents. So this is what you do. Subscribe and like for more skits #shorts All My Links: https://linktr.ee/mobowl Socials: Tiktok: https://www.tikt...
The Banks Family Christmas!,https://www.youtube.com/watch?v=4LbP500OIe0,https://i.ytimg.com/vi/4LbP500OIe0/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBG4S9EBI4bkMP62IQcnnvwcuf1bA,20:22,Desi Banks,873K views,3 days ago,"Desi Banks Presents a short film around his characters for this great Christmas holiday! Merry Christmas from BSimone Reginae Carter, Candace B Harris, Desi Banks, Alton Walker, Shuler King!..."
EXPLODING Glitter Bomb 4.0 vs. Package Thieves,https://www.youtube.com/watch?v=3c584TGG7jQ,https://i.ytimg.com/vi/3c584TGG7jQ/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDlN1VIZYidCfa6y-8-kO1i5UQctw,18:28,Mark Rober,19M views,2 weeks ago,"Merry Christmas ya filthy animals. If you want to learn the design fundamentals it takes to make something like the Glitter Bomb, enroll in my Creative Engineering course at https://Monthly.com/Mar..."
You missed this in GLADIATOR,https://www.youtube.com/shorts/Ge0gLqCAX1Y,https://i.ytimg.com/vi/Ge0gLqCAX1Y/hq2.jpg,SHORTS,Movie Logic,1.5M views,2 days ago,"You missed THIS in Gladiator. When Maximus makes his first appearance in the Colosseum, he asks the men fighting with him if any of them “ever served in the army” to which one replies that..."
The STUPIDEST smartphone cases EVER 😂,https://www.youtube.com/shorts/mOFOjmws4hk,https://i.ytimg.com/vi_webp/mOFOjmws4hk/hq2.webp,SHORTS,Mrwhosetheboss Shorts,2.6M views,1 day ago,Do consider subscribing to my Shorts Channel! 👊 Main Mrwhosetheboss YouTube Channel: https://www.youtube.com/user/Mrwhosetheboss #shorts #tech #case #phone
"Bobby Shmurda - Shmoney (Official Music Video) ft. Quavo, Rowdy Rebel",https://www.youtube.com/watch?v=C2gSvt0LNSs,https://i.ytimg.com/vi/C2gSvt0LNSs/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCyrGTCWo7vsJTTnamJ01zJwodrcQ,3:01,Bobby Shmurda,5M views,11 days ago,"Bobby Shmurda feat. Quavo & Rowdy Rebel - Shmoney (Official Music Video) ""Shmoney"" available at: https://BobbyShmurda.lnk.to/Shmoney Follow Bobby Shmurda: Instagram: https://www.instagram.com/it..."
The Most Powerful Computers You've Never Heard Of,https://www.youtube.com/watch?v=IgF3OX8nT0w,https://i.ytimg.com/vi/IgF3OX8nT0w/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCUHblAgKk-NzlHzGbfzF6Ro7oVTQ,20:13,Veritasium,4.8M views,6 days ago,"Analog computers were the most powerful computers for thousands of years, relegated to obscurity by the digital revolution. This video is sponsored by Brilliant. The first 200 people to sign..."
THE NORTHMAN - Official Trailer - In Theaters April 22,https://www.youtube.com/watch?v=oMSdFM12hOw,https://i.ytimg.com/vi/oMSdFM12hOw/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDQrlfJzJzqkv8EsHvEzRDaCbaXvA,2:44,Focus Features,11M views,8 days ago,"From visionary director Robert Eggers comes THE NORTHMAN, an action-filled epic that follows a young Viking prince on his quest to avenge his father’s murder. With an all-star cast that includes..."
157 Minecraft Facts You Possibly Didn't Know,https://www.youtube.com/watch?v=8rB2TQSPLuA,https://i.ytimg.com/vi/8rB2TQSPLuA/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDqARGNBm2ghoiQGDoJ65Q1ptWFKQ,45:49,Skip the Tutorial,2.1M views,2 days ago,"157 Minecraft Facts You Possibly Didn't Know! Minecraft has dozens of mobs, blocks, and items to choose from, so it can be easy to lose track of all the information. In that case, let's cover..."
